iter	Passed	Remaining
411	3320	4738
412	3326	4728
413	3334	4719
414	3341	4710
415	3348	4700
416	3354	4690
417	3360	4679
418	3367	4669
419	3374	4660
420	3382	4651
421	3388	4640
422	3394	4630
423	3403	4623
424	3411	4615
425	3418	4606
426	3425	4597
427	3433	4588
428	3440	4579
429	3447	4569
430	3454	4560
431	3461	4550
432	3467	4540
433	3474	4531
434	3480	4520
435	3487	4510
436	3493	4500
437	3499	4489
438	3505	4480
439	3511	4469
440	3518	4459
441	3523	4448
442	3530	4438
443	3538	4431
444	3544	4421
445	3551	4411
446	3557	4400
447	3563	4390
448	3570	4381
449	3576	4370
450	3583	4361
451	3589	4351
452	3596	4342
453	3603	4333
454	3609	4323
455	3616	4314
456	3623	4305
457	3630	4295
458	3636	4286
459	3643	4276
460	3649	4266
461	3656	4257
462	3662	4248
463	3669	4238
464	3675	4229
465	3682	4219
466	3688	4209
467	3694	4200
468	3700	4190
469	3707	4180
470	3714	4171
471	3721	4163
472	3727	4152
473	3733	4143
474	3740	4133
475	3747	4124
476	3753	4115
477	3761	4107
478	3768	4098
479	3777	4091
480	3783	4082
481	3790	4073
482	3797	4065
483	3804	4056
484	3811	4047
485	3820	4040
486	3826	4031
487	3833	4022
488	3840	4013
489	3847	4004
490	3854	3995
491	3861	3987
492	3868	3978
493	3876	3970
494	3882	3961
495	3890	3953
496	3896	3943
497	3903	3934
498	3912	3928
499	3920	3920
500	3928	3912
501	3934	3903
502	3943	3896
503	3950	3887
504	3957	3879
505	3963	3869
506	3972	3862
507	3980	3854
508	3985	3844
509	3992	3836
510	4001	3829
511	4008	3820
512	4016	3812
513	4022	3803
514	4031	3796
515	4039	3789
516	4046	3780
517	4052	3771
518	4059	3762
519	4066	3753
520	4073	3744
521	4080	3736
522	4087	3727
523	4095	3720
524	4102	3712
525	4112	3705
526	4119	3696
527	4126	3689
528	4134	3681
529	4142	3673
530	4149	3665
531	4157	3657
532	4164	3649
533	4172	3641
534	4179	3632
535	4186	3624
536	4193	3615
537	4199	3606
538	4206	3597
539	4212	3588
540	4218	3579
541	4224	3569
542	4230	3560
543	4237	3552
544	4244	3543
545	4250	3534
546	4256	3525
547	4264	3517
548	4272	3509
549	4278	3500
550	4284	3491
551	4290	3482
552	4296	3473
553	4303	3464
554	4309	3455
555	4315	3446
556	4322	3437
557	4329	3429
558	4335	3420
559	4341	3411
560	4348	3402
561	4354	3393
562	4361	3385
563	4367	3376
564	4373	3367
565	4380	3358
566	4386	3350
567	4392	3341
568	4399	3332
569	4405	3323
570	4412	3314
571	4417	3305
572	4424	3297
573	4431	3288
574	4437	3280
575	4443	3270
576	4449	3261
577	4456	3253
578	4462	3244
579	4469	3236
580	4475	3227
581	4481	3219
582	4488	3210
583	4495	3202
584	4502	3193
585	4508	3185
586	4517	3178
587	4524	3170
588	4530	3161
589	4536	3152
590	4543	3144
591	4550	3136
592	4557	3127
593	4564	3119
594	4571	3111
595	4578	3103
596	4584	3094
597	4590	3086
598	4596	3077
599	4603	3068
600	4611	3061
601	4617	3052
602	4625	3045
603	4632	3036
604	4638	3028
605	4645	3020
606	4651	3011
607	4657	3002
608	4663	2994
609	4670	2986
610	4676	2977
611	4683	2968
612	4689	2960
613	4695	2952
614	4702	2943
615	4708	2935
616	4714	2926
617	4720	2918
618	4727	2910
619	4735	2902
620	4741	2893
621	4750	2886
622	4756	2878
623	4766	2872
624	4773	2864
625	4779	2855
626	4785	2847
627	4792	2838
628	4799	2830
629	4806	2822
630	4814	2815
631	4820	2806
632	4826	2798
633	4833	2790
634	4840	2782
635	4846	2773
636	4853	2765
637	4859	2757
638	4866	2749
639	4872	2740
640	4878	2732
641	4885	2724
642	4891	2715
643	4899	2708
644	4906	2700
645	4912	2692
646	4919	2683
647	4926	2676
648	4934	2668
649	4940	2660
650	4947	2652
651	4954	2644
652	4964	2638
653	4971	2630
654	4978	2622
655	4985	2614
656	4994	2607
657	5001	2599
658	5008	2591
659	5015	2583
660	5024	2576
661	5032	2569
662	5038	2561
663	5045	2552
664	5052	2545
665	5059	2537
666	5066	2529
667	5073	2521
668	5081	2514
669	5088	2506
670	5095	2498
671	5101	2490
672	5108	2482
673	5115	2474
674	5123	2466
675	5131	2459
676	5140	2452
677	5148	2444
678	5155	2437
679	5162	2429
680	5169	2421
681	5176	2413
682	5181	2405
683	5188	2396
684	5193	2388
685	5201	2380
686	5207	2372
687	5214	2364
688	5220	2356
689	5228	2349
690	5234	2340
691	5241	2332
692	5247	2324
693	5254	2316
694	5260	2308
695	5267	2300
696	5274	2292
697	5281	2284
698	5287	2276
699	5294	2268
700	5299	2260
701	5306	2252
702	5313	2244
703	5320	2237
704	5327	2229
705	5333	2221
706	5340	2213
707	5347	2205
708	5354	2197
709	5361	2189
710	5367	2181
711	5374	2173
712	5380	2165
713	5386	2157
714	5393	2149
715	5400	2142
716	5406	2133
717	5413	2125
718	5419	2118
719	5426	2110
720	5432	2102
721	5439	2094
722	5445	2086
723	5452	2078
724	5459	2070
725	5466	2063
726	5474	2055
727	5481	2047
728	5487	2040
729	5493	2032
730	5499	2023
731	5506	2015
732	5512	2008
733	5519	2000
734	5526	1992
735	5533	1984
736	5539	1976
737	5545	1968
738	5551	1960
739	5558	1953
740	5565	1945
741	5572	1937
742	5578	1929
743	5585	1921
744	5591	1913
745	5598	1906
746	5605	1898
747	5612	1890
748	5618	1882
749	5624	1874
750	5631	1867
751	5637	1859
752	5643	1851
753	5650	1843
754	5657	1835
755	5663	1828
756	5670	1820
757	5676	1812
758	5683	1804
759	5690	1796
760	5697	1789
761	5704	1781
762	5711	1774
763	5719	1766
764	5727	1759
765	5734	1751
766	5741	1744
767	5748	1736
768	5754	1728
769	5761	1720
770	5767	1713
771	5774	1705
772	5782	1697
773	5788	1690
774	5796	1682
775	5803	1675
776	5811	1667
777	5818	1660
778	5826	1652
779	5833	1645
780	5839	1637
781	5846	1629
782	5852	1622
783	5859	1614
784	5866	1606
785	5873	1599
786	5882	1591
787	5889	1584
788	5895	1576
789	5901	1568
790	5911	1561
791	5918	1554
792	5925	1546
793	5932	1539
794	5941	1532
795	5948	1524
796	5956	1517
797	5964	1509
798	5974	1502
799	5981	1495
800	5987	1487
801	5994	1479
802	6002	1472
803	6008	1464
804	6015	1457
805	6022	1449
806	6030	1442
807	6037	1434
808	6045	1427
809	6052	1419
810	6060	1412
811	6066	1404
812	6072	1396
813	6080	1389
814	6087	1381
815	6094	1374
816	6101	1366
817	6110	1359
818	6118	1352
819	6127	1345
820	6136	1337
821	6143	1330
822	6150	1322
823	6157	1315
824	6163	1307
825	6170	1299
826	6177	1292
827	6184	1284
828	6190	1276
829	6197	1269
830	6203	1261
831	6211	1254
832	6218	1246
833	6225	1239
834	6232	1231
835	6239	1223
836	6245	1216
837	6252	1208
838	6258	1200
839	6264	1193
840	6270	1185
841	6277	1177
842	6284	1170
843	6290	1162
844	6297	1155
845	6305	1147
846	6310	1139
847	6316	1132
848	6323	1124
849	6329	1117
850	6337	1109
851	6344	1102
852	6350	1094
853	6357	1086
854	6364	1079
855	6371	1071
856	6378	1064
857	6385	1056
858	6391	1049
859	6399	1041
860	6406	1034
861	6413	1026
862	6420	1019
863	6428	1011
864	6434	1004
865	6441	996
866	6447	989
867	6456	981
868	6463	974
869	6471	966
870	6479	959
871	6486	952
872	6494	944
873	6500	937
874	6507	929
875	6514	922
876	6520	914
877	6526	906
878	6533	899
879	6539	891
880	6545	884
881	6553	876
882	6560	869
883	6567	861
884	6574	854
885	6581	846
886	6587	839
887	6594	831
888	6600	824
889	6607	816
890	6615	809
891	6622	801
892	6629	794
893	6636	786
894	6642	779
895	6649	771
896	6656	764
897	6662	756
898	6669	749
899	6675	741
900	6682	734
901	6692	727
902	6700	719
903	6709	712
904	6716	705
905	6724	697
906	6730	690
907	6737	682
908	6743	675
909	6750	667
910	6756	660
911	6763	652
912	6771	645
913	6778	637
914	6785	630
915	6792	622
916	6799	615
917	6805	607
918	6811	600
919	6818	592
920	6824	585
921	6832	577
922	6838	570
923	6845	563
924	6851	555
925	6857	548
926	6866	540
927	6872	533
928	6879	525
929	6886	518
930	6894	510
